"","rowname","PrEff","AsEff","SI_1","SI_2"
"1","A10",-18.5133462122009,3.60671230459576,-14.9066339076052,-22.1200585167967
"2","A11",-3.68395512461743,5.20722173338901,1.52326660877158,-8.89117685800644
"3","A25",-27.2603840650949,5.37003556104215,-21.8903485040527,-32.6304196261371
"4","BAKER",-3.31423186438718,-1.69535339468014,-5.00958525906731,-1.61887846970704
"5","BUCKSKIN",-17.4012619316561,-2.64103772158978,-20.0422996532459,-14.7602242100663
"6","COLT",-16.7165911992778,2.92975451409719,-13.7868366851806,-19.646345713375
"7","CORRAL",3.49652207087476,-4.45035084808468,-0.953828777209923,7.94687291895944
"8","DEON",-3.97572288461105,-3.04715018829352,-7.02287307290457,-0.928572696317529
"9","ESKER",20.1580079874004,3.8182413406364,23.9762493280368,16.339766646764
"10","EXCEL",4.28202606412834,2.76980764998539,7.05183371411373,1.51221841414294
"11","GOLIATH",-11.4515668165174,-1.06943463258432,-12.5210014491018,-10.3821321839331
"12","GOPHER",-11.7805595117438,-1.54967889642737,-13.3302384081711,-10.2308806153164
"13","HAYDEN",2.34737629601105,2.7092049854945,5.05658128150554,-0.361828689483449
"14","HORSEPOWER",-4.29580496577105,-1.79163322135126,-6.08743818712231,-2.50417174441979
"15","IL15-5752",-15.0203002622048,2.38591639540262,-12.6343838668022,-17.4062166576074
"16","IL17-1253",13.1877485482282,1.18730935057788,14.3750578988061,12.0004391976504
"17","IL17-1704",6.71224433504493,-1.48776260889606,5.22448172614887,8.20000694394099
"18","IL17-5238",-3.94885330457201,1.66133260609169,-2.28752069848032,-5.6101859106637
"19","IL17-7334",7.5774217909086,0.584998148466271,8.16241993937487,6.99242364244232
"20","IL17-7339",4.04187644157151,2.1994161097607,6.24129255133221,1.84246033181081
"21","LEGGETT",-6.21257851481028,-1.97404220261744,-8.18662071742772,-4.23853631219285
"22","MN18015X_004",-10.0291561715945,4.56648750599388,-5.46266866560058,-14.5956436775883
"23","MN18038X_008",14.012869676889,-5.53776151184256,8.47510816504649,19.5506311887316
"24","NATTY",-13.2791171436978,1.28657965207521,-11.9925374916226,-14.565696795773
"25","ND161488",5.51271521010214,-0.851303637013635,4.66141157308851,6.36401884711578
"26","ND170307",0.487412588311982,-2.01958847639679,-1.53217588808481,2.50700106470877
"27","ND170376",-6.7017625284718,-4.59717145442867,-11.2989339829005,-2.10459107404312
"28","NEWBURG",-3.00100600845669,0.524336392651793,-2.4766696158049,-3.52534240110848
"29","OGLE",-7.369501212224,-7.48721963554723,-14.8567208477712,0.117718423323231
"30","OT2130",3.13938754139287,-0.696133379999002,2.44325416139387,3.83552092139187
"31","OT3120",0.976481595771742,-0.403619953933688,0.572861641838053,1.38010154970543
"32","REINS",11.7795238143804,2.49526700097499,14.2747908153554,9.28425681340538
"33","RUSHMORE",0.034454481634824,-1.24731149193634,-1.21285701030151,1.28176597357116
"34","SABER",-2.20035472160459,4.40633385763397,2.20597913602938,-6.60668857923856
"35","SADDLE",8.25565762511954,-3.35434856684882,4.90130905827071,11.6100061919684
"36","SD170935",1.8613964555042,2.42018226187497,4.28157871737917,-0.558785806370776
"37","SD180580",0.754296850030555,-1.7085153977806,-0.954218547750043,2.46281224781115
"38","SD181237",-0.200267738762585,1.25373397957733,1.05346624081475,-1.45400171833992
"39","SD181245",26.0401237719188,0.230794572480159,26.2709183443989,25.8093291994386
"40","SD181377",7.56248986991837,-1.13057167254771,6.43191819737067,8.69306154246608
"41","SD190850",8.45097910295391,-0.370548298711346,8.08043080424257,8.82152740166526
"42","SD190992",5.04622880787359,-1.8228309420602,3.22339786581338,6.86905974993379
"43","SD191467",6.42435639976805,1.2707590819592,7.69511548172725,5.15359731780885
"44","SPURS",2.21306711489507,0.0970503952084547,2.31011751010352,2.11601671968661
"45","WARRIOR",3.62076168064327,-2.23460950096725,1.38615217967602,5.85537118161052
"46","WI_X10642-3",10.7701665401721,-2.81671209812652,7.95345444204562,13.5868786382987
"47","WI_X10680-3",21.461461377217,3.45337560395655,24.9148369811736,18.0080857732605
"48","WI_X10710-7",-11.4533631955212,0.389675598255199,-11.063687597266,-11.8430387937764
