"","SI2","SI1","preff","aseff"
"A10",27.4317516567536,28.269161841589,27.8504567491713,0.418705092417666
"A11",2.58797539347185,-6.56353073895556,-1.98777767274186,-4.57575306621371
"A25",68.4599388923165,31.3265134053213,49.8932261488189,-18.5667127434976
"BAKER",47.2847965822505,11.3098187413008,29.2973076617757,-17.9874889204749
"BUCKSKIN",24.8038773950616,16.1667126491396,20.4852950221006,-4.31858237296102
"COLT",91.1027214939818,38.896328023648,64.9995247588149,-26.1031967351669
"CORRAL",70.7847804652397,33.9303650461896,52.3575727557147,-18.4272077095251
"DEON",106.263578502338,85.1244076632229,95.6939930827802,-10.5695854195573
"ESKER",68.1112526904776,55.6006917088638,61.8559721996707,-6.25528049080687
"EXCEL",59.0775357042815,22.8627148284074,40.9701252663445,-18.1074104379371
"GOLIATH",35.9261985814714,6.0056688831069,20.9659337322891,-14.9602648491822
"GOPHER",73.9271965097855,56.6142866228298,65.2707415663077,-8.65645494347787
"HAYDEN",67.9803631411854,26.1972388913868,47.0888010162861,-20.8915621248993
"HORSEPOWER",17.4153794898292,12.8549572320513,15.1351683609403,-2.28021112888891
"IL15-5752",91.4819882616708,68.359428199298,79.9207082304844,-11.5612800311864
"IL17-1253",91.0465936648454,53.3429711321452,72.1947823984953,-18.8518112663501
"IL17-1704",65.2307855130924,40.6374386957371,52.9341121044148,-12.2966734086776
"IL17-5238",86.0577090076738,58.1526905071413,72.1051997574075,-13.9525092502663
"IL17-733X",63.2633543607617,21.9890450509181,42.6261997058399,-20.6371546549218
"LEGGETT",36.3493438984594,28.5093592036364,32.4293515510479,-3.91999234741152
"MN18015X_004",104.622308266082,48.3435668984699,76.4829375822761,-28.1393706838062
"MN18038X_008",45.0840052063958,22.7498815141873,33.9169433602915,-11.1670618461043
"NATTY",80.1820811976423,51.2359133880337,65.708997292838,-14.4730839048043
"ND161488",71.8276879931033,27.9328669866168,49.88027748986,-21.9474105032433
"ND170307",66.6843054412771,20.0286950692392,43.3565002552581,-23.3278051860189
"ND170376",61.8253362409793,32.705046842273,47.2651915416261,-14.5601446993531
"NEWBURG",78.9364834938725,22.1607012071588,50.5485923505157,-28.3878911433568
"OGLE",68.2629593662341,33.3100294080514,50.7864943871427,-17.4764649790914
"OT2130",60.8452469659563,36.8476040523442,48.8464255091503,-11.9988214568061
"OT3120",78.9803574121906,69.8090685707746,74.3947129914826,-4.585644420708
"REINS",68.6567421667651,38.3638252583426,53.5102837125538,-15.1464584542113
"RUSHMORE",62.982046369597,49.8019383230906,56.3919923463438,-6.59005402325319
"SABER",94.8838734236315,53.3701842217143,74.1270288226729,-20.7568446009586
"SADDLE",75.6679065263599,60.89860888864,68.2832577075,-7.38464881885994
"SD170935",78.7935626829154,41.5624797040834,60.1780211934994,-18.615541489416
"SD180580",75.8895110042903,56.1786449057426,66.0340779550164,-9.85543304927382
"SD181237",120.645031570518,86.6319838789397,103.638507724729,-17.0065238457891
"SD181245",90.9032081963832,56.6735108568497,73.7883595266164,-17.1148486697668
"SD181377",88.3353300106617,61.207006368987,74.7711681898243,-13.5641618208373
"SD190850",87.1279210586424,51.9116370663424,69.5197790624924,-17.60814199615
"SD190992",75.5174880004848,63.4235991618166,69.4705435811507,-6.04694441933411
"SD191467",67.4823943386922,43.2391154032138,55.360754870953,-12.1216394677392
"SPURS",98.7624107000253,51.7392179982835,75.2508143491544,-23.5115963508709
"WARRIOR",100.692909539762,54.4737599715259,77.5833347556441,-23.1095747841183
"WI_X10642-3",107.107899402552,88.9592020843272,98.0335507434395,-9.07434865911239
"WI_X10680-3",44.1384945210285,17.3465586511346,30.7425265860816,-13.3959679349469
"WI_X10710-7",20.4234706516877,-9.45446755943332,5.48450154612719,-14.9389691055605
