,State,PlotNo,peaName,ManagementFactor:SpringOatPeaIntercrop_2024_NY_AUSTRIAN FIELD PEAS,ManagementFactor:SpringOatPeaIntercrop_2024_NY_delta field pea,ManagementFactor:SpringOatPeaIntercrop_2024_NY_DS Admiral,ManagementFactor:SpringOatPeaIntercrop_2024_NY_Frostmaster Peas,ManagementFactor:SpringOatPeaIntercrop_2024_NY_Icicle Winter Peas,ManagementFactor:SpringOatPeaIntercrop_2024_NY_Maxum,ManagementFactor:SpringOatPeaIntercrop_2024_NY_ND Dawn,ManagementFactor:SpringOatPeaIntercrop_2024_NY_ND Victory,ManagementFactor:SpringOatPeaIntercrop_2024_NY_NDP140510Y,ManagementFactor:SpringOatPeaIntercrop_2024_NY_NDP150231Y,ManagementFactor:SpringOatPeaIntercrop_2024_NY_NDP150412G,ManagementFactor:SpringOatPeaIntercrop_2024_NY_Organic 4010
1,NY,1,na,0,0,0,0,0,0,0,0,0,0,0,0
2,NY,2,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
3,NY,3,Maxum,0,0,0,0,0,1,0,0,0,0,0,0
4,NY,4,na,0,0,0,0,0,0,0,0,0,0,0,0
5,NY,5,na,0,0,0,0,0,0,0,0,0,0,0,0
6,NY,6,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
7,NY,7,na,0,0,0,0,0,0,0,0,0,0,0,0
8,NY,8,NDP150412G,0,0,0,0,0,0,0,0,0,0,1,0
9,NY,9,delta field pea,0,1,0,0,0,0,0,0,0,0,0,0
10,NY,10,na,0,0,0,0,0,0,0,0,0,0,0,0
11,NY,11,na,0,0,0,0,0,0,0,0,0,0,0,0
12,NY,12,NDP140510Y,0,0,0,0,0,0,0,0,1,0,0,0
13,NY,13,na,0,0,0,0,0,0,0,0,0,0,0,0
14,NY,14,Maxum,0,0,0,0,0,1,0,0,0,0,0,0
15,NY,15,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
16,NY,16,na,0,0,0,0,0,0,0,0,0,0,0,0
17,NY,17,NDP150231Y,0,0,0,0,0,0,0,0,0,1,0,0
18,NY,18,na,0,0,0,0,0,0,0,0,0,0,0,0
19,NY,19,NDP140510Y,0,0,0,0,0,0,0,0,1,0,0,0
20,NY,20,na,0,0,0,0,0,0,0,0,0,0,0,0
21,NY,21,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
22,NY,22,na,0,0,0,0,0,0,0,0,0,0,0,0
23,NY,23,na,0,0,0,0,0,0,0,0,0,0,0,0
24,NY,24,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
25,NY,25,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
26,NY,26,na,0,0,0,0,0,0,0,0,0,0,0,0
27,NY,27,na,0,0,0,0,0,0,0,0,0,0,0,0
28,NY,28,ND Dawn,0,0,0,0,0,0,1,0,0,0,0,0
29,NY,29,NDP150412G,0,0,0,0,0,0,0,0,0,0,1,0
30,NY,30,na,0,0,0,0,0,0,0,0,0,0,0,0
31,NY,31,NDP140510Y,0,0,0,0,0,0,0,0,1,0,0,0
32,NY,32,na,0,0,0,0,0,0,0,0,0,0,0,0
33,NY,33,na,0,0,0,0,0,0,0,0,0,0,0,0
34,NY,34,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
35,NY,35,na,0,0,0,0,0,0,0,0,0,0,0,0
36,NY,36,Frostmaster Peas,0,0,0,1,0,0,0,0,0,0,0,0
37,NY,37,na,0,0,0,0,0,0,0,0,0,0,0,0
38,NY,38,Maxum,0,0,0,0,0,1,0,0,0,0,0,0
39,NY,39,na,0,0,0,0,0,0,0,0,0,0,0,0
40,NY,40,AUSTRIAN FIELD PEAS,1,0,0,0,0,0,0,0,0,0,0,0
41,NY,41,delta field pea,0,1,0,0,0,0,0,0,0,0,0,0
42,NY,42,na,0,0,0,0,0,0,0,0,0,0,0,0
43,NY,43,AUSTRIAN FIELD PEAS,1,0,0,0,0,0,0,0,0,0,0,0
44,NY,44,na,0,0,0,0,0,0,0,0,0,0,0,0
45,NY,45,Frostmaster Peas,0,0,0,1,0,0,0,0,0,0,0,0
46,NY,46,na,0,0,0,0,0,0,0,0,0,0,0,0
47,NY,47,AUSTRIAN FIELD PEAS,1,0,0,0,0,0,0,0,0,0,0,0
48,NY,48,na,0,0,0,0,0,0,0,0,0,0,0,0
49,NY,49,NDP150231Y,0,0,0,0,0,0,0,0,0,1,0,0
50,NY,50,na,0,0,0,0,0,0,0,0,0,0,0,0
51,NY,51,NDP150412G,0,0,0,0,0,0,0,0,0,0,1,0
52,NY,52,na,0,0,0,0,0,0,0,0,0,0,0,0
53,NY,53,na,0,0,0,0,0,0,0,0,0,0,0,0
54,NY,54,NDP150412G,0,0,0,0,0,0,0,0,0,0,1,0
55,NY,55,AUSTRIAN FIELD PEAS,1,0,0,0,0,0,0,0,0,0,0,0
56,NY,56,na,0,0,0,0,0,0,0,0,0,0,0,0
57,NY,57,na,0,0,0,0,0,0,0,0,0,0,0,0
58,NY,58,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
59,NY,59,na,0,0,0,0,0,0,0,0,0,0,0,0
60,NY,60,Maxum,0,0,0,0,0,1,0,0,0,0,0,0
61,NY,61,na,0,0,0,0,0,0,0,0,0,0,0,0
62,NY,62,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
63,NY,63,na,0,0,0,0,0,0,0,0,0,0,0,0
64,NY,64,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
65,NY,65,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
66,NY,66,na,0,0,0,0,0,0,0,0,0,0,0,0
67,NY,67,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
68,NY,68,na,0,0,0,0,0,0,0,0,0,0,0,0
69,NY,69,ND Dawn,0,0,0,0,0,0,1,0,0,0,0,0
70,NY,70,na,0,0,0,0,0,0,0,0,0,0,0,0
71,NY,71,NDP150231Y,0,0,0,0,0,0,0,0,0,1,0,0
72,NY,72,na,0,0,0,0,0,0,0,0,0,0,0,0
73,NY,73,na,0,0,0,0,0,0,0,0,0,0,0,0
74,NY,74,AUSTRIAN FIELD PEAS,1,0,0,0,0,0,0,0,0,0,0,0
75,NY,75,na,0,0,0,0,0,0,0,0,0,0,0,0
76,NY,76,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
77,NY,77,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
78,NY,78,na,0,0,0,0,0,0,0,0,0,0,0,0
79,NY,79,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
80,NY,80,na,0,0,0,0,0,0,0,0,0,0,0,0
81,NY,81,na,0,0,0,0,0,0,0,0,0,0,0,0
82,NY,82,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
83,NY,83,na,0,0,0,0,0,0,0,0,0,0,0,0
84,NY,84,ND Dawn,0,0,0,0,0,0,1,0,0,0,0,0
85,NY,85,Frostmaster Peas,0,0,0,1,0,0,0,0,0,0,0,0
86,NY,86,na,0,0,0,0,0,0,0,0,0,0,0,0
87,NY,87,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
88,NY,88,na,0,0,0,0,0,0,0,0,0,0,0,0
89,NY,89,na,0,0,0,0,0,0,0,0,0,0,0,0
90,NY,90,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
91,NY,91,na,0,0,0,0,0,0,0,0,0,0,0,0
92,NY,92,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
93,NY,93,NDP140510Y,0,0,0,0,0,0,0,0,1,0,0,0
94,NY,94,na,0,0,0,0,0,0,0,0,0,0,0,0
95,NY,95,NDP150231Y,0,0,0,0,0,0,0,0,0,1,0,0
96,NY,96,na,0,0,0,0,0,0,0,0,0,0,0,0
97,NY,97,delta field pea,0,1,0,0,0,0,0,0,0,0,0,0
98,NY,98,na,0,0,0,0,0,0,0,0,0,0,0,0
99,NY,99,Maxum,0,0,0,0,0,1,0,0,0,0,0,0
100,NY,100,na,0,0,0,0,0,0,0,0,0,0,0,0
101,NY,101,NDP150412G,0,0,0,0,0,0,0,0,0,0,1,0
102,NY,102,na,0,0,0,0,0,0,0,0,0,0,0,0
103,NY,103,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
104,NY,104,na,0,0,0,0,0,0,0,0,0,0,0,0
105,NY,105,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
106,NY,106,na,0,0,0,0,0,0,0,0,0,0,0,0
107,NY,107,na,0,0,0,0,0,0,0,0,0,0,0,0
108,NY,108,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
109,NY,109,na,0,0,0,0,0,0,0,0,0,0,0,0
110,NY,110,delta field pea,0,1,0,0,0,0,0,0,0,0,0,0
111,NY,111,na,0,0,0,0,0,0,0,0,0,0,0,0
112,NY,112,Frostmaster Peas,0,0,0,1,0,0,0,0,0,0,0,0
113,NY,113,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
114,NY,114,na,0,0,0,0,0,0,0,0,0,0,0,0
115,NY,115,na,0,0,0,0,0,0,0,0,0,0,0,0
116,NY,116,Maxum,0,0,0,0,0,1,0,0,0,0,0,0
117,NY,117,na,0,0,0,0,0,0,0,0,0,0,0,0
118,NY,118,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
119,NY,119,na,0,0,0,0,0,0,0,0,0,0,0,0
120,NY,120,ND Dawn,0,0,0,0,0,0,1,0,0,0,0,0
121,NY,121,na,0,0,0,0,0,0,0,0,0,0,0,0
122,NY,122,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
123,NY,123,na,0,0,0,0,0,0,0,0,0,0,0,0
124,NY,124,ND Dawn,0,0,0,0,0,0,1,0,0,0,0,0
125,NY,125,NDP150231Y,0,0,0,0,0,0,0,0,0,1,0,0
126,NY,126,na,0,0,0,0,0,0,0,0,0,0,0,0
127,NY,127,na,0,0,0,0,0,0,0,0,0,0,0,0
128,NY,128,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
129,NY,129,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
130,NY,130,na,0,0,0,0,0,0,0,0,0,0,0,0
131,NY,131,na,0,0,0,0,0,0,0,0,0,0,0,0
132,NY,132,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
133,NY,133,Maxum,0,0,0,0,0,1,0,0,0,0,0,0
134,NY,134,na,0,0,0,0,0,0,0,0,0,0,0,0
135,NY,135,NDP150231Y,0,0,0,0,0,0,0,0,0,1,0,0
136,NY,136,na,0,0,0,0,0,0,0,0,0,0,0,0
137,NY,137,na,0,0,0,0,0,0,0,0,0,0,0,0
138,NY,138,AUSTRIAN FIELD PEAS,1,0,0,0,0,0,0,0,0,0,0,0
139,NY,139,na,0,0,0,0,0,0,0,0,0,0,0,0
140,NY,140,delta field pea,0,1,0,0,0,0,0,0,0,0,0,0
141,NY,141,NDP140510Y,0,0,0,0,0,0,0,0,1,0,0,0
142,NY,142,na,0,0,0,0,0,0,0,0,0,0,0,0
143,NY,143,na,0,0,0,0,0,0,0,0,0,0,0,0
144,NY,144,Frostmaster Peas,0,0,0,1,0,0,0,0,0,0,0,0
145,NY,145,NDP140510Y,0,0,0,0,0,0,0,0,1,0,0,0
146,NY,146,na,0,0,0,0,0,0,0,0,0,0,0,0
147,NY,147,na,0,0,0,0,0,0,0,0,0,0,0,0
148,NY,148,Organic 4010,0,0,0,0,0,0,0,0,0,0,0,1
149,NY,149,na,0,0,0,0,0,0,0,0,0,0,0,0
150,NY,150,NDP150412G,0,0,0,0,0,0,0,0,0,0,1,0
151,NY,151,na,0,0,0,0,0,0,0,0,0,0,0,0
152,NY,152,Frostmaster Peas,0,0,0,1,0,0,0,0,0,0,0,0
153,NY,153,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
154,NY,154,na,0,0,0,0,0,0,0,0,0,0,0,0
155,NY,155,na,0,0,0,0,0,0,0,0,0,0,0,0
156,NY,156,NDP140510Y,0,0,0,0,0,0,0,0,1,0,0,0
157,NY,157,na,0,0,0,0,0,0,0,0,0,0,0,0
158,NY,158,delta field pea,0,1,0,0,0,0,0,0,0,0,0,0
159,NY,159,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
160,NY,160,na,0,0,0,0,0,0,0,0,0,0,0,0
161,NY,161,Frostmaster Peas,0,0,0,1,0,0,0,0,0,0,0,0
162,NY,162,na,0,0,0,0,0,0,0,0,0,0,0,0
163,NY,163,DS Admiral,0,0,1,0,0,0,0,0,0,0,0,0
164,NY,164,na,0,0,0,0,0,0,0,0,0,0,0,0
165,NY,165,NDP150231Y,0,0,0,0,0,0,0,0,0,1,0,0
166,NY,166,na,0,0,0,0,0,0,0,0,0,0,0,0
167,NY,167,na,0,0,0,0,0,0,0,0,0,0,0,0
168,NY,168,NDP140510Y,0,0,0,0,0,0,0,0,1,0,0,0
169,NY,169,na,0,0,0,0,0,0,0,0,0,0,0,0
170,NY,170,ND Dawn,0,0,0,0,0,0,1,0,0,0,0,0
171,NY,171,NDP150412G,0,0,0,0,0,0,0,0,0,0,1,0
172,NY,172,na,0,0,0,0,0,0,0,0,0,0,0,0
173,NY,173,na,0,0,0,0,0,0,0,0,0,0,0,0
174,NY,174,Maxum,0,0,0,0,0,1,0,0,0,0,0,0
175,NY,175,NDP150231Y,0,0,0,0,0,0,0,0,0,1,0,0
176,NY,176,na,0,0,0,0,0,0,0,0,0,0,0,0
177,NY,177,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
178,NY,178,na,0,0,0,0,0,0,0,0,0,0,0,0
179,NY,179,na,0,0,0,0,0,0,0,0,0,0,0,0
180,NY,180,Frostmaster Peas,0,0,0,1,0,0,0,0,0,0,0,0
181,NY,181,na,0,0,0,0,0,0,0,0,0,0,0,0
182,NY,182,Icicle Winter Peas,0,0,0,0,1,0,0,0,0,0,0,0
183,NY,183,delta field pea,0,1,0,0,0,0,0,0,0,0,0,0
184,NY,184,na,0,0,0,0,0,0,0,0,0,0,0,0
185,NY,185,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
186,NY,186,na,0,0,0,0,0,0,0,0,0,0,0,0
187,NY,187,na,0,0,0,0,0,0,0,0,0,0,0,0
188,NY,188,delta field pea,0,1,0,0,0,0,0,0,0,0,0,0
189,NY,189,AUSTRIAN FIELD PEAS,1,0,0,0,0,0,0,0,0,0,0,0
190,NY,190,na,0,0,0,0,0,0,0,0,0,0,0,0
191,NY,191,na,0,0,0,0,0,0,0,0,0,0,0,0
192,NY,192,ND Dawn,0,0,0,0,0,0,1,0,0,0,0,0
193,NY,193,ND Victory,0,0,0,0,0,0,0,1,0,0,0,0
194,NY,194,na,0,0,0,0,0,0,0,0,0,0,0,0
195,NY,195,ND Dawn,0,0,0,0,0,0,1,0,0,0,0,0
196,NY,196,na,0,0,0,0,0,0,0,0,0,0,0,0
197,NY,197,na,0,0,0,0,0,0,0,0,0,0,0,0
198,NY,198,NDP150412G,0,0,0,0,0,0,0,0,0,0,1,0
199,NY,199,AUSTRIAN FIELD PEAS,1,0,0,0,0,0,0,0,0,0,0,0
200,NY,200,na,0,0,0,0,0,0,0,0,0,0,0,0
